name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name.1,team_id,team_name,event,team_h,team_a
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,14,1,14
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,16,1,8
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,18,1,10
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,21,1,18
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,22,1,2
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,24,1,13
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,26,1,19
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,29,1,6
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,30,1,9
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,32,1,4
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,34,1,7
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,35,1,3
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,37,1,15
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,1,1,20
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,3,1,5
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,6,1,11
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,7,1,17
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,9,1,12
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,12,1,16
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,14,1,14
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,16,1,8
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,18,1,10
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,21,1,18
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,22,1,2
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,24,1,13
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,26,1,19
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,29,1,6
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,30,1,9
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,32,1,4
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,34,1,7
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,35,1,3
Arsenal,48,13,0.0,323,0,0,1,0.0,0.03,Arsenal,1,Arsenal,37,1,15
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,1,1,20
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,3,1,5
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,6,1,11
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,7,1,17
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,9,1,12
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,12,1,16
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,14,1,14
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,16,1,8
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,18,1,10
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,21,1,18
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,22,1,2
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,24,1,13
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,26,1,19
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,29,1,6
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,30,1,9
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,32,1,4
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,34,1,7
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,35,1,3
Arsenal,65,93,2.0,1562,6,3,8,4.49,3.12,Arsenal,1,Arsenal,37,1,15
