name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
konak,4.4,7,0.5,27,0,0,0,0.15,0.0,5.236666666666667,
lewis-potter,5.0,75,2.0,2367,1,4,6,2.38,3.96,76.5,
mbeumo,8.1,179,4.0,2605,15,6,6,9.23,6.88,176.54,
mee,4.2,9,0.5,180,0,0,1,0.0,0.02,9.35128214840715,
nørgaard,4.8,73,6.0,2010,4,2,3,3.01,0.81,72.23,
onyeka,4.9,2,0.0,23,0,0,0,0.0,0.02,9.35128214840715,
peart-harris,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
pinnock,4.4,46,2.0,1830,2,0,2,0.87,0.64,46.07,
roerslev,4.3,36,0.0,1100,0,2,2,0.2,2.09,43.66,
schade,5.1,104,2.0,1562,7,4,7,5.76,1.16,99.47,
thiago,5.9,5,0.0,129,0,0,0,0.1,0.02,18.933071428571427,
toney,7.3,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
valdimarsson,3.9,2,0.0,144,0,0,0,0.0,0.0,3.9237786938038095,
wissa,6.6,132,5.0,2111,13,3,6,13.51,1.46,132.29,
yarmoliuk,4.4,26,0.5,781,0,0,0,0.62,0.4,28.83,
zanka,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
carvalho,4.5,35,0.0,443,2,1,0,2.49,0.54,42.3,
van den berg,4.1,38,0.5,1774,0,1,2,0.8,0.44,37.21,
trevitt,4.4,1,0.0,3,0,0,0,0.0,0.0,3.9237786938038095,
g.nunes,4.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
meghoma,4.0,1,0.0,4,0,0,0,0.0,0.0,3.9237786938038095,
yogane,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
maghoma,4.5,7,0.0,105,0,0,0,0.12,0.04,11.7,
arthur,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
frank,0.8,41,4.0,0,0,0,0,0.0,0.0,3.9237786938038095,
kayode,4.5,4,0.0,30,0,0,0,0.0,0.07,8.0525,
eyestone,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
