id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
604,Josh,King,9,4.4,7,0.0,78,0,0,1,0.1
156,Armando,Broja,8,5.3,6,0.5,166,0,0,0,0.1
21,Kieran,Tierney,1,4.3,6,1.0,77,0,0,0,0.0
734,Albert,Grønbæk,17,4.9,6,1.5,141,0,0,0,0.0
586,Jorge,Cuenca Barreno,9,4.4,6,0.0,168,0,0,0,0.0
731,Andrés,García,2,4.5,6,0.0,266,0,0,0,0.1
613,Toby,Collyer,14,4.5,6,1.0,174,0,0,0,0.0
598,Lamare,Bogarde,2,4.0,6,0.0,473,0,0,0,0.3
500,Dane,Scarlett,18,4.4,6,0.5,31,0,1,0,0.8
50,Kosta,Nedeljković,2,3.9,5,0.0,121,0,0,0,0.6
107,Igor Thiago,Nascimento Rodrigues,4,5.9,5,0.0,129,0,0,0,0.0
425,Willy,Boly,16,4.2,5,0.0,131,0,0,0,0.1
134,James,Milner,5,5.0,5,0.0,169,0,0,1,0.0
475,Charlie,Taylor,17,3.9,5,0.0,263,0,0,0,3.8
305,Luke,Thomas,11,3.9,5,1.5,362,0,0,0,1.6
583,Conor,Townsend,10,3.9,4,0.0,136,0,0,0,0.6
137,Jakub,Moder,5,4.4,4,0.0,9,0,0,0,0.4
287,Hamza,Choudhury,11,4.4,4,0.0,129,0,0,0,1.3
757,Michael,Kayode,4,4.5,4,0.0,30,0,0,0,0.0
697,Josh,Acheampong,6,4.0,4,0.0,168,0,0,0,0.1
132,Solly,March,5,6.5,3,0.5,37,0,0,0,0.0
302,Ricardo,Barbosa Pereira,11,4.1,3,0.5,152,0,0,0,0.1
718,Welington Damascena,Santos,17,4.0,3,0.0,171,0,0,0,0.0
178,Marc,Guiu Paz,6,4.7,3,0.0,71,0,0,0,0.5
124,Billy,Gilmour,5,5.0,3,0.0,97,0,0,0,0.0
444,Harry,Toffolo,16,4.2,3,0.0,45,0,0,0,0.1
221,Séamus,Coleman,8,4.3,3,0.0,196,0,0,0,0.0
558,Yerson,Mosquera,20,3.8,3,0.0,441,0,0,0,0.8
96,Kim,Ji-soo,4,3.9,3,0.5,28,0,0,0,0.3
636,Federico,Chiesa,12,6.8,3,0.0,25,0,0,0,0.2
609,Will,Lankshear,18,4.5,3,0.0,10,0,0,0,1.1
473,Ross,Stewart,17,4.4,3,0.0,130,0,0,0,1.7
387,Luke,Shaw,14,4.9,2,0.0,68,0,0,0,0.1
776,Chido,Obi-Martin,14,4.5,2,0.5,26,0,0,0,0.2
687,Ben,Winterburn,3,4.5,2,0.0,9,0,0,0,0.0
428,Eric,da Silva Moreira,16,4.3,2,0.0,28,0,0,0,0.1
102,Frank,Onyeka,4,4.9,2,0.0,23,0,0,0,0.0
456,Armel,Bella-Kotchap,17,3.9,2,1.0,329,0,0,0,0.4
562,Daniel,Castelo Podence,20,5.5,2,0.0,46,0,0,0,0.0
109,Hákon,Valdimarsson,4,3.9,2,0.0,144,0,0,0,4.0
658,Ayden,Heaven,14,4.0,2,1.0,95,0,0,0,0.1
769,Nasser,Djiga,20,4.5,2,0.5,18,0,0,0,0.0
379,Tyrell,Malacia,14,4.4,2,0.0,99,0,0,0,0.0
381,Scott,McTominay,14,4.9,2,0.0,17,0,0,0,0.1
701,Lewis,Orford,19,4.5,2,0.0,47,0,0,0,0.0
561,Pedro,Cardoso de Lima,20,3.9,2,0.0,69,0,0,0,1.3
