name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Bournemouth,45,1,0.0,1,0,0,0,0.00,0.00,Bournemouth
Bournemouth,40,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,39,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,45,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,45,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,40,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,45,1,0.0,1,0,0,0,0.00,0.00,Bournemouth
Bournemouth,11,29,3.0,0,0,0,0,0.00,0.00,Bournemouth
Brentford,44,28,1.5,1206,0,0,2,0.72,0.44,Brentford
Brentford,44,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,45,90,1.5,2610,2,5,5,2.28,1.21,Brentford
Brentford,51,108,2.0,2217,2,9,8,2.42,5.36,Brentford
Brentford,48,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,44,96,3.0,2465,0,1,4,0.00,0.09,Brentford
Brentford,43,1,0.0,3,0,0,0,0.00,0.00,Brentford
Brentford,43,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,49,68,1.0,2098,1,3,6,0.83,2.30,Brentford
Brentford,53,28,0.5,728,0,1,2,0.23,1.17,Brentford
Brentford,39,3,0.5,28,0,0,0,0.00,0.00,Brentford
Brentford,44,7,0.5,27,0,0,0,0.15,0.00,Brentford
Brentford,50,75,2.0,2367,1,4,6,2.38,3.96,Brentford
Brentford,81,179,4.0,2605,15,6,6,9.23,6.88,Brentford
Brentford,42,9,0.5,180,0,0,1,0.00,0.02,Brentford
Brentford,48,73,6.0,2010,4,2,3,3.01,0.81,Brentford
Brentford,49,2,0.0,23,0,0,0,0.00,0.02,Brentford
Brentford,45,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,44,46,2.0,1830,2,0,2,0.87,0.64,Brentford
Brentford,43,36,0.0,1100,0,2,2,0.20,2.09,Brentford
Brentford,51,104,2.0,1562,7,4,7,5.76,1.16,Brentford
Brentford,59,5,0.0,129,0,0,0,0.10,0.02,Brentford
Brentford,73,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,39,2,0.0,144,0,0,0,0.00,0.00,Brentford
Brentford,66,132,5.0,2111,13,3,6,13.51,1.46,Brentford
Brentford,44,26,0.5,781,0,0,0,0.62,0.40,Brentford
Brentford,45,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,45,35,0.0,443,2,1,0,2.49,0.54,Brentford
Brentford,41,38,0.5,1774,0,1,2,0.80,0.44,Brentford
Brentford,44,1,0.0,3,0,0,0,0.00,0.00,Brentford
Brentford,49,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,40,1,0.0,4,0,0,0,0.00,0.00,Brentford
Brentford,45,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,45,7,0.0,105,0,0,0,0.12,0.04,Brentford
Brentford,40,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,8,41,4.0,0,0,0,0,0.00,0.00,Brentford
Brentford,45,4,0.0,30,0,0,0,0.00,0.07,Brentford
Brentford,40,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,45,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brentford,40,0,0.0,0,0,0,0,0.00,0.00,Brentford
Brighton,51,39,1.0,613,2,1,1,1.47,1.60,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,50,61,1.5,1948,2,1,7,2.93,1.03,Brighton
Brighton,40,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,45,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,49,0,0.0,0,0,0,0,0.00,0.00,Brighton
Brighton,42,38,0.0,1560,0,1,4,0.69,0.64,Brighton
Brighton,49,51,4.5,1689,1,1,2,0.56,1.72,Brighton
